,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.05,-0.1,1.17,1.18,-0.4,0.42,-2.18,1.0
1,0.04,-0.09,1.2,1.21,-1.88,-5.99,-0.95,1.0
2,0.04,-0.07,1.21,1.21,-3.29,-0.69,-5.17,1.0
3,0.04,-0.05,1.21,1.21,-0.39,3.36,-9.13,1.0
4,0.06,-0.04,1.18,1.18,2.71,5.16,-12.0,1.0
5,0.05,-0.06,1.16,1.16,2.34,2.91,-8.69,1.0
6,0.03,-0.03,1.16,1.17,1.57,2.74,-9.89,1.0
7,-0.0,-0.02,1.21,1.21,-0.13,8.45,-20.88,1.0
8,-0.03,-0.07,1.22,1.22,12.32,11.89,-21.94,1.0
9,-0.06,-0.09,1.21,1.21,25.7,0.71,-12.83,1.0
10,0.01,-0.08,1.19,1.19,25.2,-4.22,4.56,1.0
11,0.01,-0.08,1.14,1.15,9.17,1.46,26.4,1.0
12,0.05,-0.04,1.23,1.23,-9.62,2.3,29.16,1.0
13,-0.05,-0.03,1.15,1.15,-11.39,5.38,22.8,1.0
14,0.08,-0.04,1.22,1.22,-10.99,-1.59,12.27,1.0
15,0.06,-0.04,1.23,1.23,2.76,-1.05,12.23,1.0
16,-0.01,-0.06,1.19,1.19,1.24,4.46,18.23,1.0
17,-0.02,-0.05,1.1,1.1,-17.18,6.94,17.39,1.0
18,0.08,-0.02,1.11,1.12,-8.74,-9.24,7.73,1.0
19,-0.01,-0.02,1.12,1.12,-25.88,-15.02,-1.01,1.0
20,-0.02,-0.09,1.25,1.25,-30.69,-12.37,-12.1,1.0
21,0.06,-0.05,1.2,1.21,7.35,-2.43,-15.21,1.0
22,-0.02,-0.05,1.2,1.2,2.82,-0.28,-4.56,1.0
23,0.0,-0.0,1.16,1.16,-9.51,-2.34,-8.68,1.0
24,-0.04,-0.09,1.11,1.11,-7.78,-4.65,-0.82,1.0
25,0.06,-0.04,1.16,1.17,-14.07,-14.3,9.32,1.0
26,0.15,0.03,1.34,1.35,-10.12,0.82,5.92,1.0
27,0.05,-0.07,1.22,1.22,2.61,2.27,17.71,1.0
