,accX,accY,accZ,accResultant,gyrX,gyrY,gyrZ,isFall
0,0.05,-0.15,1.16,1.17,-0.9,-3.0,0.25,1.0
1,0.05,-0.14,1.17,1.18,1.17,-0.52,0.62,1.0
2,0.05,-0.14,1.16,1.17,0.74,0.77,0.09,1.0
3,0.05,-0.14,1.16,1.17,-1.3,0.98,-0.2,1.0
4,0.05,-0.13,1.16,1.17,0.07,2.92,-0.54,1.0
5,0.05,-0.14,1.14,1.15,-0.17,3.27,-0.72,1.0
6,0.0,-0.13,1.11,1.12,0.41,1.8,-2.31,1.0
7,-0.13,0.0,1.12,1.13,-11.76,-14.79,-8.33,1.0
8,-0.03,0.12,1.17,1.18,-1.87,-11.05,-6.07,1.0
9,-0.0,0.12,1.13,1.14,-12.09,29.72,0.62,1.0
10,-0.03,0.07,1.08,1.08,4.11,28.48,7.45,1.0
11,-0.03,0.08,1.08,1.09,17.39,23.25,14.35,1.0
12,0.01,0.04,1.02,1.02,17.06,9.78,15.06,1.0
13,0.03,0.04,1.05,1.05,20.79,2.97,25.11,1.0
14,-0.05,0.08,1.07,1.07,28.09,8.11,26.97,1.0
15,-0.07,0.08,1.07,1.08,17.84,10.35,3.36,1.0
16,0.02,0.06,0.98,0.98,9.46,11.34,2.49,1.0
17,0.0,0.04,0.97,0.97,-19.09,1.66,2.32,1.0
18,-0.03,0.04,1.0,1.0,-22.87,-2.23,27.01,1.0
19,0.12,0.12,1.07,1.08,-10.41,3.63,16.1,1.0
20,-0.01,0.01,1.0,1.0,4.08,9.52,18.12,1.0
21,0.07,0.09,0.96,0.97,-12.88,5.84,10.86,1.0
22,0.1,0.1,0.92,0.93,-28.28,-6.94,-9.58,1.0
23,-0.1,-0.0,0.93,0.94,-26.32,-0.31,-6.67,1.0
24,-0.12,0.13,0.96,0.97,-47.77,0.23,-26.66,1.0
25,0.19,0.14,0.87,0.9,-45.43,17.68,-16.75,1.0
26,-0.1,0.0,0.96,0.96,-148.41,34.83,-54.4,1.0
27,0.27,0.02,0.8,0.84,-194.36,38.97,-40.39,1.0
28,0.58,-0.03,0.87,1.04,-207.28,18.31,-45.63,1.0
29,-0.83,0.83,0.75,1.39,48.05,147.57,53.64,1.0
30,1.21,-0.51,0.47,1.39,71.6,222.55,-217.11,7.0
31,1.82,-1.82,-0.67,2.66,-252.05,125.54,-62.27,7.0
32,1.03,0.47,0.75,1.36,199.53,172.2,123.71,7.0
33,0.86,-0.14,0.03,0.87,76.64,11.11,-12.87,7.0
34,0.87,0.12,-0.0,0.88,0.68,0.48,-1.29,7.0
35,0.88,0.13,0.0,0.89,0.27,0.28,-0.76,7.0
36,0.87,0.09,0.0,0.87,-0.32,0.12,6.2,7.0
37,0.88,0.12,0.0,0.89,-0.03,0.26,-0.47,7.0
38,0.88,0.19,0.0,0.9,-0.46,-0.21,2.03,7.0
39,0.87,0.12,0.0,0.88,0.92,0.89,0.65,7.0
40,0.88,0.12,0.01,0.88,0.32,0.61,-0.89,7.0
41,0.88,0.12,0.0,0.88,-0.03,0.28,-0.79,7.0
42,0.88,0.12,0.0,0.88,-0.12,0.21,-0.75,7.0
43,0.88,0.13,0.0,0.88,-0.13,0.21,-0.76,7.0
44,0.87,0.12,0.01,0.88,-0.09,0.23,-0.77,7.0
45,0.88,0.12,0.0,0.88,-0.14,0.23,-0.72,5.0
46,0.88,0.12,0.0,0.88,-0.12,0.23,-0.71,5.0
47,0.88,0.12,0.0,0.88,-0.13,0.21,-0.74,5.0
48,0.88,0.12,0.0,0.88,0.13,0.4,-0.83,5.0
49,0.88,0.12,0.0,0.88,-1.23,-0.56,-0.54,5.0
50,0.87,0.12,0.01,0.88,-0.58,-0.06,-0.83,5.0
51,0.88,0.13,0.0,0.88,-1.09,-0.53,-0.9,5.0
52,0.87,0.12,0.0,0.88,-0.62,-0.11,-1.1,5.0
53,0.87,0.13,0.0,0.88,-0.09,0.19,-0.7,5.0
54,0.88,0.12,0.0,0.89,0.76,0.92,-0.75,6.0
55,0.87,0.12,0.0,0.88,-0.01,0.25,-0.78,6.0
56,0.87,0.12,0.01,0.88,-0.05,0.11,-0.73,6.0
57,0.87,0.12,0.0,0.88,-0.16,-0.51,-0.57,6.0
58,0.88,-0.12,-0.18,0.9,-4.48,-9.87,8.0,6.0
59,0.84,0.11,-0.34,0.91,-6.61,-53.66,28.14,6.0
60,0.8,0.29,-0.13,0.86,-24.77,-101.07,15.68,6.0
61,0.62,0.16,0.17,0.67,-28.72,-112.35,8.04,6.0
62,0.45,0.24,0.4,0.65,-26.04,-101.96,10.41,6.0
63,0.3,0.35,0.63,0.77,-21.05,-76.88,5.15,6.0
64,0.17,0.39,0.67,0.79,-16.22,-52.61,-42.14,6.0
65,0.06,0.01,0.77,0.77,-9.34,-63.82,-74.43,6.0
66,0.04,0.19,0.83,0.85,2.02,-50.29,4.26,6.0
67,0.01,0.14,0.92,0.93,1.35,-35.9,2.22,6.0
68,-0.0,0.14,0.94,0.95,1.07,-30.17,2.1,6.0
69,-0.0,0.16,1.05,1.06,0.67,-26.52,0.49,6.0
70,-0.02,0.17,1.14,1.15,-5.77,24.54,-6.87,6.0
71,-0.01,0.13,0.98,0.98,-1.13,11.15,-2.63,6.0
72,-0.02,0.13,0.92,0.93,0.57,2.33,-1.15,6.0
73,-0.01,0.14,0.93,0.94,-1.44,-3.51,-0.34,6.0
74,-0.01,0.15,0.96,0.97,0.4,-12.06,1.25,6.0
75,-0.03,0.12,1.01,1.02,1.14,-19.58,2.56,6.0
